latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-14T12:00:00+0000,Partly Cloudy,partly-cloudy-day,0.0,0.0,6.88,4.49,3.76,0.81,3.42,117.0,7.23,0.44,1023.56,376.3
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-14T13:00:00+0000,Partly Cloudy,partly-cloudy-day,0.0,0.0,8.61,6.62,5.23,0.79,3.38,125.0,7.16,0.53,1023.81,375.56
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-14T14:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,9.42,7.59,5.91,0.79,3.38,132.0,7.11,0.65,1023.99,374.54
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-14T15:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,10.26,10.26,6.66,0.78,3.43,138.0,7.07,0.79,1024.2,373.1
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-14T16:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,10.02,10.02,6.66,0.8,3.04,136.0,7.05,0.86,1024.51,370.92
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-14T17:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,9.73,8.37,6.71,0.81,2.72,132.0,7.02,0.9,1024.86,368.33
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-14T18:00:00+0000,Overcast,cloudy,0.0,0.0,9.36,8.13,6.66,0.83,2.39,130.0,7.0,0.96,1025.19,366.2
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-14T19:00:00+0000,Overcast,cloudy,0.0,0.0,9.39,8.24,6.86,0.84,2.32,132.0,9.29,0.97,1025.48,364.66
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-14T20:00:00+0000,Overcast,cloudy,0.0203,0.01,9.39,8.26,7.0,0.85,2.29,137.0,11.57,0.98,1025.76,363.58
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-14T21:00:00+0000,Overcast,cloudy,0.0254,0.01,9.33,8.14,7.07,0.86,2.35,143.0,13.86,0.98,1026.02,363.5
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-14T22:00:00+0000,Overcast,cloudy,0.0254,0.01,9.07,7.84,7.06,0.87,2.35,149.0,14.23,0.99,1026.29,364.43
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-14T23:00:00+0000,Overcast,cloudy,0.0254,0.01,8.91,7.63,7.12,0.89,2.36,154.0,14.61,1.0,1026.55,366.36
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T00:00:00+0000,Overcast,cloudy,0.0229,0.01,8.76,7.42,7.18,0.9,2.41,160.0,15.0,0.98,1026.73,369.8
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T01:00:00+0000,Overcast,cloudy,0.0,0.0,8.46,7.07,7.12,0.91,2.4,161.0,15.0,0.94,1026.77,376.41
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T02:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,8.17,6.74,7.07,0.93,2.37,161.0,15.0,0.89,1026.73,384.54
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T03:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,7.93,6.47,7.06,0.94,2.36,161.0,15.0,0.84,1026.75,389.7
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T04:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,7.67,6.27,6.81,0.94,2.24,155.0,12.33,0.78,1026.89,389.37
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T05:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,7.47,6.1,6.61,0.94,2.17,148.0,9.67,0.73,1027.09,386.07
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T06:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,7.46,5.98,6.59,0.94,2.3,145.0,7.0,0.62,1027.26,382.9
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T07:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,8.0,6.33,7.01,0.93,2.66,159.0,7.0,0.76,1027.37,380.57
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T08:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,8.64,6.82,7.52,0.93,3.11,170.0,7.0,0.85,1027.45,378.37
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T09:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0229,0.01,9.25,7.26,7.98,0.92,3.64,178.0,7.0,0.93,1027.52,377.3
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T10:00:00+0000,Overcast,cloudy,0.0254,0.01,9.75,7.75,8.18,0.9,3.89,185.0,9.67,0.94,1027.58,377.89
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T11:00:00+0000,Overcast,cloudy,0.0279,0.02,10.27,10.27,8.37,0.88,4.16,191.0,12.33,0.95,1027.64,379.6
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T12:00:00+0000,Overcast,cloudy,0.0356,0.03,10.76,10.76,8.56,0.86,4.41,197.0,15.0,0.96,1027.62,381.9
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T13:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0508,0.05,10.79,10.79,8.51,0.86,4.4,199.0,15.0,0.92,1027.42,384.7
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T14:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0737,0.09,10.62,10.62,8.32,0.86,4.36,200.0,15.0,0.89,1027.14,388.08
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T15:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0864,0.12,10.42,10.42,8.1,0.86,4.3,201.0,15.0,0.81,1027.05,391.7
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T16:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0838,0.11,10.11,10.11,7.98,0.87,4.24,203.0,15.0,0.77,1027.28,396.18
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T17:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0737,0.09,9.82,7.71,7.9,0.88,4.18,205.0,15.0,0.75,1027.69,400.9
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T18:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.061,0.07,9.57,7.41,7.84,0.89,4.14,206.0,15.0,0.71,1028.08,403.7
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T19:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0457,0.04,9.24,7.17,7.64,0.9,3.79,210.0,16.09,0.68,1028.37,403.02
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T20:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0279,0.02,8.92,6.93,7.46,0.91,3.5,215.0,16.09,0.64,1028.64,400.41
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T21:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,8.57,6.62,7.22,0.91,3.3,222.0,16.09,0.6,1028.89,398.4
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T22:00:00+0000,Partly Cloudy,partly-cloudy-night,0.0,0.0,8.14,6.14,6.86,0.92,3.24,224.0,16.09,0.59,1029.14,398.15
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-15T23:00:00+0000,Partly Cloudy,partly-cloudy-night,0.0,0.0,7.73,5.67,6.5,0.92,3.18,226.0,16.09,0.58,1029.38,398.49
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-16T00:00:00+0000,Partly Cloudy,partly-cloudy-night,0.0,0.0,7.24,5.06,6.06,0.92,3.21,228.0,16.09,0.58,1029.55,398.4
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-16T01:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,6.55,4.25,5.4,0.92,3.17,234.0,16.09,0.61,1029.63,397.66
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-16T02:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,5.92,3.47,4.81,0.93,3.21,239.0,16.09,0.66,1029.64,396.5
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-16T03:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,5.51,2.94,4.44,0.93,3.26,243.0,15.0,0.69,1029.66,394.6
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-16T04:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,5.51,2.96,4.53,0.93,3.23,244.0,15.0,0.76,1029.69,391.93
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-16T05:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,5.66,3.17,4.77,0.94,3.18,244.0,15.0,0.82,1029.73,388.53
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-16T06:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,5.7,3.24,4.88,0.94,3.15,246.0,15.0,0.87,1029.84,384.2
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-16T07:00:00+0000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,5.98,3.57,5.05,0.94,3.16,247.0,15.0,0.85,1030.09,378.2
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-16T08:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,6.15,3.76,5.09,0.93,3.2,248.0,15.0,0.81,1030.38,371.28
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-16T09:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,6.15,3.72,4.91,0.92,3.25,248.0,15.0,0.79,1030.55,365.5
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-16T10:00:00+0000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,7.02,4.72,5.15,0.88,3.33,249.0,16.09,0.69,1030.58,362.72
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-16T11:00:00+0000,Partly Cloudy,partly-cloudy-day,0.0,0.0,8.14,6.03,5.57,0.84,3.41,249.0,16.09,0.59,1030.52,361.08
51.510357,-0.116773,2017-02-14T12:50:50+0000,2017-02-16T12:00:00+0000,Partly Cloudy,partly-cloudy-day,0.0,0.0,9.44,7.58,6.18,0.8,3.47,249.0,16.09,0.51,1030.37,357.1
