latitude,longitude,created_at_datetime,forecast_datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,ozone
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T00:00:00+0000,Clear,clear-night,,,11.92,11.92,9.36,0.84,7.6,243.0,9.75,,1007.49,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T01:00:00+0000,Clear,clear-night,,,11.49,11.49,9.86,0.9,6.83,243.0,10.94,,1007.64,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T02:00:00+0000,Clear,clear-night,,,10.99,10.99,9.83,0.93,6.13,243.0,10.72,,1007.56,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T03:00:00+0000,Clear,clear-night,,,10.96,10.96,9.87,0.93,6.15,247.0,10.99,,1007.18,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T04:00:00+0000,Clear,clear-night,,,10.85,10.85,9.23,0.9,5.16,257.0,11.18,,1007.04,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T05:00:00+0000,Clear,clear-night,,,10.72,10.72,9.16,0.9,4.81,261.0,9.29,,1007.38,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T06:00:00+0000,Clear,clear-night,,,9.19,7.26,8.17,0.93,3.5,275.0,6.65,,1007.51,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T07:00:00+0000,Overcast,cloudy,,,8.48,6.78,7.18,0.92,2.86,303.0,7.11,1.0,1007.94,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T08:00:00+0000,Overcast,cloudy,,,7.94,5.97,6.57,0.91,3.12,281.0,10.03,1.0,1008.43,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T09:00:00+0000,Overcast,cloudy,,,7.97,6.19,6.56,0.91,2.82,295.0,9.16,1.0,1008.77,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T10:00:00+0000,Overcast,cloudy,,,7.92,5.48,6.3,0.9,3.94,299.0,10.51,1.0,1009.12,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T11:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,7.56,5.14,5.43,0.86,3.73,287.0,11.56,0.67,1009.38,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T12:00:00+0000,Overcast,cloudy,,,8.02,5.63,4.26,0.77,3.88,288.0,11.89,1.0,1009.45,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T13:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,8.53,6.13,3.49,0.71,4.15,289.0,12.15,0.75,1008.83,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T14:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,8.93,6.24,1.97,0.62,5.01,293.0,12.15,0.75,1008.86,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T15:00:00+0000,Clear,clear-day,,,8.55,5.92,0.32,0.56,4.66,302.0,11.49,0.0,1009.1,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T16:00:00+0000,Mostly Cloudy,partly-cloudy-day,,,8.82,6.53,-0.56,0.52,4.05,300.0,12.15,0.75,1009.44,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T17:00:00+0000,Partly Cloudy,partly-cloudy-day,,,8.27,6.39,-1.61,0.5,3.07,302.0,12.28,0.5,1009.72,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T18:00:00+0000,Partly Cloudy,partly-cloudy-night,,,7.72,5.94,-1.74,0.51,2.74,295.0,12.15,0.26,1010.52,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T19:00:00+0000,Partly Cloudy,partly-cloudy-night,,,7.56,6.03,-1.46,0.53,2.37,293.0,12.54,0.26,1011.19,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T20:00:00+0000,Partly Cloudy,partly-cloudy-night,,,6.77,5.18,-1.49,0.56,2.28,284.0,13.2,0.31,1011.48,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T21:00:00+0000,Clear,clear-night,,,6.32,4.39,-0.57,0.61,2.59,287.0,13.04,0.16,1011.79,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T22:00:00+0000,Clear,clear-night,,,6.52,4.95,-0.83,0.59,2.2,287.0,13.04,0.18,1012.1,
51.510357,-0.116773,2016-02-22T14:00:00+0000,2016-02-22T23:00:00+0000,Clear,clear-night,,,6.05,4.0,-1.29,0.59,2.68,295.0,13.04,0.2,1012.41,
